,elec_baseload_MW,elec_cooling_MW,elec_heating_MW,elec_dg_MW,elec_total_MW,nonelec_baseload_MW,nonelec_cooling_MW,nonelec_heating_MW,nonelec_total_MW,elec_net_MW
2018-05-21 01:00:00+00:00,22.878286415768713,7.232795545041212,0.020177718456536726,0.0,30.131260855794025,3.050200222356664,0.05035187748101819,0.002683243108969953,3.103241063259248,30.131260855794025
2018-05-21 02:00:00+00:00,22.627893406596534,5.044830812884976,0.024422760913452315,0.0,27.69714518980427,3.1504586170161875,0.04264850400128278,0.0037891816541479675,3.196896392363694,27.69714518980427
2018-05-21 03:00:00+00:00,26.21461861031097,2.979598005635007,0.0333647831479289,0.0,29.227581277536977,3.1333507970664702,0.03684942428544846,0.006412649154480645,3.176610952695323,29.227581277536977
2018-05-21 04:00:00+00:00,26.3771417221159,2.2889412275052576,0.06381051093209732,0.0,28.729893194871792,3.381522315583636,0.033965385328939744,0.008929331134092871,3.424418858799998,28.729893194871792
2018-05-21 05:00:00+00:00,26.560805098062282,1.975597177832856,0.08158255650536135,0.0,28.61799257852013,3.5760011006082557,0.0340675039361572,0.01026600523429566,3.6203344684865955,28.61799257852013
2018-05-21 06:00:00+00:00,26.283738563183476,1.5959052155916469,0.1831245089648622,0.0,28.062770570766165,4.334413999374223,0.03016312563984873,0.014383356511611703,4.37895876658,28.062770570766165
2018-05-21 07:00:00+00:00,26.07571240108905,1.2926141154710056,0.4454630086502517,0.0,27.813784504270835,5.345427204458597,0.02654627354286278,0.030870603813381515,5.402844753108406,27.813784504270835
2018-05-21 08:00:00+00:00,27.199562610092094,1.321803169055005,0.5077954302943777,0.0,29.029160215334308,5.743909787239605,0.029054807242095103,0.04266898238881012,5.815631938504939,29.029160215334308
2018-05-21 09:00:00+00:00,27.261811554232388,1.237526335465819,0.7538772991942472,0.0,29.25320802220169,6.862623315483152,0.028619778078522826,0.06994632450225902,6.961185922148848,29.25320802220169
2018-05-21 10:00:00+00:00,27.44161488836732,1.080642197229876,1.2173508323979263,0.0,29.739597715554417,8.716082157167712,0.026612069620513632,0.1107571025170801,8.853452107442925,29.739597715554417
2018-05-21 11:00:00+00:00,27.848542512696852,0.9890146227621782,1.6745740452204834,0.0,30.51212909597642,10.671144111176526,0.02543767514129574,0.1512769381840326,10.847863820277166,30.51212909597642
2018-05-21 12:00:00+00:00,28.42868049668394,0.7509027336034013,1.1059679770150002,0.0,30.285550217690925,6.213900336092454,0.022747161121102227,0.14503359473884822,6.381681625091346,30.285550217690925
2018-05-21 13:00:00+00:00,25.84175419520464,0.7402346161662229,1.2061539738723108,0.0,27.78814049042744,6.460458777602215,0.02220065708655174,0.14524603652266077,6.627905674244692,27.78814049042744
2018-05-21 14:00:00+00:00,27.4402999319824,1.9460089828981106,2.078012940426386,0.0,31.464318702327095,12.76168607778257,0.030339799097868894,0.1458292814139916,12.937853087420436,31.464318702327095
2018-05-21 15:00:00+00:00,29.707617747550213,3.2006257291716707,1.233371826750254,0.0,34.14161868412608,8.957736923134785,0.04387741411819105,0.08017327815221563,9.081786006867063,34.14161868412608
2018-05-21 16:00:00+00:00,32.17639281458163,3.963774488899578,0.6202299930311462,0.0,36.76039655253599,6.503824519897113,0.05726357473249807,0.03467765741756979,6.595769701903013,36.76039655253599
2018-05-21 17:00:00+00:00,34.30979275066445,4.8972961537836035,0.24364796854508441,0.0,39.45074245133481,4.766332018739789,0.0698469364647673,0.01351645813746467,4.849693249983414,39.45074245133481
2018-05-21 18:00:00+00:00,35.708294621363876,5.681285436868771,0.0648695149122181,0.0,41.454445502746154,3.9176701851783884,0.07938249174996544,0.003612686889138111,4.000664070208366,41.454445502746154
2018-05-21 19:00:00+00:00,36.12915243283413,5.979681945253883,0.021693800319763527,0.0,42.130526742338105,3.579252205183224,0.08888978702871585,0.00042023052558003366,3.6685567182835976,42.130526742338105
2018-05-21 20:00:00+00:00,35.780058728160576,6.271627301946663,0.01787283437376946,0.0,42.069561802712016,3.5831687582000478,0.0949013171845453,0.0005730286290114746,3.6786475030221926,42.069561802712016
2018-05-21 21:00:00+00:00,34.497866755887394,7.107104946286055,0.02099656750710191,0.0,41.625966425612134,3.394233469602494,0.09670534088993195,9.811010289786711e-05,3.491040425439493,41.625966425612134
2018-05-21 22:00:00+00:00,32.26054751640992,7.533890019594319,0.021366087188803992,0.0,39.815803855947166,3.2491270627913407,0.09096236954024693,0.00026488566603935184,3.340352698229485,39.815803855947166
2018-05-21 23:00:00+00:00,30.185037985243838,7.312626293023785,0.02456763776276601,0.0,37.52223109544093,3.2086616568648285,0.07695105663505876,0.00014312637193556916,3.285758908641396,37.52223109544093
2018-05-22 00:00:00+00:00,28.262473733274796,7.122833549668828,0.027983442101780595,0.0,35.41329736092966,3.194429170925985,0.06777394933635361,0.00019337018654121422,3.2623932827957054,35.41329736092966
2018-05-22 01:00:00+00:00,26.7813566189238,6.224835466018645,0.05682256115413846,0.0,33.06301959918961,3.4086694610477393,0.05674218977159115,0.0004000386050306557,3.4658113365373877,33.06301959918961
2018-05-22 02:00:00+00:00,25.78407200241425,4.4463864140262395,0.13036365746131562,0.0,30.360823799724727,3.814663875270716,0.04488691410680208,0.0018802939085137004,3.861429361886642,30.360823799724727
2018-05-22 03:00:00+00:00,28.571742912871528,2.1197654497213154,0.31195201555907526,0.0,31.00345573411208,4.756917471377196,0.03420942210403653,0.006497539586437102,4.797616768656403,31.00345573411208
2018-05-22 04:00:00+00:00,28.217570387768248,1.6039735313581116,0.5314261194253513,0.0,30.35297022397175,5.901712564913939,0.029842972118930482,0.0214244411553958,5.952978285602185,30.35297022397175
2018-05-22 05:00:00+00:00,27.71853814161554,1.3418831721562463,0.8257128483294387,0.0,29.886129434065495,7.359711055132081,0.027816916125112494,0.051450819785811716,7.438980837091227,29.886129434065495
2018-05-22 06:00:00+00:00,27.613024087291965,1.2800825595872796,1.0747088231908308,0.0,29.967807997707162,8.580941226705423,0.0275919061399884,0.07380485215645621,8.682336194864526,29.967807997707162
2018-05-22 07:00:00+00:00,27.179893831691984,1.2185453918127886,1.3155498475660268,0.0,29.713986027801113,9.152178048271304,0.0287019234246242,0.09683326766429826,9.277713597436321,29.713986027801113
2018-05-22 08:00:00+00:00,27.333747923469772,1.1098674117278928,1.6967375810278804,0.0,30.140347760161774,10.914538573341645,0.02644783633754667,0.1339462153045711,11.074934399413756,30.140347760161774
2018-05-22 09:00:00+00:00,27.484134265089146,1.003892371505695,2.2158131805876677,0.0,30.70383796059507,13.28967219816408,0.024118635102181624,0.18161643290246623,13.495408978571588,30.70383796059507
